# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	dQ(r.l.u.)	T(K)	TMCenter(meV)	TMHWHM(meV)	LMCenter(meV)	LMHWHM(meV)
     -0.5000     -1.0000       25.65      0.0000   20      171.4104       28.2492           nan           nan
     -0.5000     -0.8750       25.65      0.1250   20      154.0938       27.1149           nan           nan
     -0.5000     -0.7500       25.65      0.2500   20      126.0726       20.6340           nan           nan
     -0.5000     -0.6250       25.65      0.3750   20       96.2943       15.9689           nan           nan
     -0.5000     -0.5000       25.65      0.5000   20      100.3900       16.0047           nan           nan
     -0.5625     -0.5625       25.65      0.5884   20       96.1775       15.9912           nan           nan
     -0.6250     -0.6250       25.65      0.6768   20      109.9302       18.2457           nan           nan
     -0.6875     -0.6875       25.65      0.7652   20      115.7556       18.2628           nan           nan
     -0.7500     -0.7500       25.65      0.8536   20      113.7036       17.8410           nan           nan
     -0.8125     -0.8125       25.65      0.9419   20      113.5440       16.7808           nan           nan
     -0.8750     -0.8750       25.65      1.0303   20      104.8230       17.9607           nan           nan
     -0.9375     -0.9375       25.65      1.1187   20       98.4960       18.6162           nan           nan
     -1.0000     -1.0000       25.65      1.2071   20       92.2764       15.9822           nan           nan
     -0.8750     -1.0000       25.65      1.3321   20      109.2234       17.8296           nan           nan
     -0.7500     -1.0000       25.65      1.4571   20      137.9742       23.9343           nan           nan
     -0.6250     -1.0000       25.65      1.5821   20      161.4924       30.1416           nan           nan
     -0.5000     -1.0000       25.65      1.7071   20      171.4104       28.2492           nan           nan
     -0.5625     -0.9375       25.65      1.7955   20      164.7870       28.2264           nan           nan
     -0.6250     -0.8750       25.65      1.8839   20      141.2802       28.6140           nan           nan
     -0.6875     -0.8125       25.65      1.9723   20      120.3042       20.0298           nan           nan
     -0.7500     -0.7500       25.65      2.0607   20      113.7036       17.8410           nan           nan
