# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	dQ(r.l.u.)	T(K)	TMCenter(meV)	TMHWHM(meV)	LMCenter(meV)	LMHWHM(meV)
     -0.5000      0.0000       28.25      0.0000   20      171.4104       28.2492           nan           nan
     -0.5000     -0.1250       28.25      0.1250   20      151.0158       27.1149           nan           nan
     -0.5000     -0.2500       28.25      0.2500   20      119.9394       20.6283      191.1404       39.8772
     -0.5000     -0.3750       28.25      0.3750   20       87.1116       15.9689      108.7408       16.0154
     -0.5000     -0.5000       28.25      0.5000   20       88.1464       16.0047      117.1127       16.0154
     -0.4375     -0.4375       28.25      0.5884   20       86.9948       15.9912      109.7458       16.0154
     -0.3750     -0.3750       28.25      0.6768   20      103.7970       18.2457      140.0479       16.0154
     -0.3125     -0.3125       28.25      0.7652   20      112.7004       18.2571      201.0730       19.2090
     -0.2500     -0.2500       28.25      0.8536   20      113.7036       17.8410           nan           nan
     -0.1875     -0.1875       28.25      0.9419   20      116.5992       16.7808           nan           nan
     -0.1250     -0.1250       28.25      1.0303   20      110.9448       17.9607      176.1274       33.7383
     -0.0625     -0.0625       28.25      1.1187   20      107.6844       18.6162      162.9649       16.0154
      0.0001      0.0000       28.25      1.2071   20      104.5209       15.9822      172.6638       16.0154
     -0.1250      0.0000       28.25      1.3321   20      109.2234       17.8296      151.3210       16.0154
     -0.2500      0.0000       28.25      1.4571   20      137.9742       23.9343           nan           nan
     -0.3750      0.0000       28.25      1.5821   20      161.4924       30.1416           nan           nan
     -0.5000      0.0000       28.25      1.7071   20      171.4104       28.2492           nan           nan
     -0.4375     -0.0625       28.25      1.7955   20      164.7870       28.2264           nan           nan
     -0.3750     -0.1250       28.25      1.8839   20      141.2802       28.6140           nan           nan
     -0.3125     -0.1875       28.25      1.9723   20      120.3042       20.0298           nan           nan
     -0.2500     -0.2500       28.25      2.0607   20      113.7036       17.8410           nan           nan
