# Qid	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	T(K)	EAmplitude(a.u.)	EAmplitudeErr	TMCenter(meV)	TMHWHM(meV)	LMCenter(meV)	LMHWHM(meV)
 0    -1.0000    -1.0000      25.65   20       35.9456        5.8864       80.9442       14.0195           nan           nan
 0    -1.0000    -1.0000      25.65  100       56.3606        3.3636       79.3000       15.7350           nan           nan
 0    -1.0000    -1.0000      25.65  200       56.3140        3.2051       77.0900       19.4500           nan           nan
 0    -1.0000    -1.0000      25.65  250       86.2419        3.6517       75.3100       23.1100           nan           nan
 0    -1.0000    -1.0000      25.65  300       83.4292        3.7697           nan       49.1800           nan           nan
 0    -1.0000    -1.0000      25.65  325       90.8112        4.4175           nan           nan           nan           nan
 1    -0.5000    -0.5000      25.65   20       14.2327        5.7415       77.8993       14.0389           nan           nan
 1    -0.5000    -0.5000      25.65  100        6.6547        2.4163       82.2572       14.0402           nan           nan
 1    -0.5000    -0.5000      25.65  200       18.0113        2.3653       76.9000       19.0050           nan           nan
 1    -0.5000    -0.5000      25.65  250       25.8330        3.0470       72.1500       25.3950           nan           nan
 1    -0.5000    -0.5000      25.65  300       22.9819        5.7986           nan       54.4650           nan           nan
 1    -0.5000    -0.5000      25.65  325        4.6748        6.8615           nan           nan           nan           nan
 2    -0.5000    -1.0000      25.65   20        6.5463        5.8755      150.3600       24.7800           nan           nan
 2    -0.5000    -1.0000      25.65  100        5.9973        3.2069      165.5900       28.1550           nan           nan
 2    -0.5000    -1.0000      25.65  200        0.0010        0.0533      155.4600       33.9600           nan           nan
 2    -0.5000    -1.0000      25.65  250        1.8399        3.7430      156.8300       33.2900           nan           nan
 2    -0.5000    -1.0000      25.65  300       11.6096        4.3217           nan       81.2350           nan           nan
 2    -0.5000    -1.0000      25.65  325       21.9268        3.5688           nan           nan           nan           nan
 3    -0.7500    -0.7500      25.65   20       33.5487        5.8450       99.7400       15.6500           nan           nan
 3    -0.7500    -0.7500      25.65  100       16.7502        3.7870      103.2000       16.9750           nan           nan
 3    -0.7500    -0.7500      25.65  200       17.1071        2.8798      110.6400       20.2600           nan           nan
 3    -0.7500    -0.7500      25.65  250       15.7481        3.0252      105.4800       23.1250           nan           nan
 3    -0.7500    -0.7500      25.65  300        9.5888       10.3415           nan      110.5100           nan           nan
 3    -0.7500    -0.7500      25.65  325       28.6617        5.2083           nan           nan           nan           nan
 4     0.0000     0.0000      28.25  100      152.6986        6.6273       90.0500       15.7400      143.7868       14.0486
 4     0.0000     0.0000      28.25  150      237.6787       13.3561       88.5600       16.3650      145.2633       14.0486
 4     0.0000     0.0000      28.25  200      287.2398       15.3787       87.9300       19.4750      148.5644       14.0486
 4     0.0000     0.0000      28.25  250      360.2487       17.3115       86.3100       23.1500      137.9311       14.0486
 4     0.0000     0.0000      28.25  275      382.3903       22.1407       88.8000       29.1350      143.3042       14.0486
 4     0.0000     0.0000      28.25  300      405.1418       19.4847           nan       49.1800      127.7752       14.0486
 4     0.0000     0.0000      28.25  350      463.1505       21.5008           nan           nan           nan           nan
 4     0.0000     0.0000      28.25  450      522.4579       19.7836           nan           nan           nan           nan
 4     0.0000     0.0000      28.25  500      385.9261        9.4552           nan           nan           nan           nan
 4     0.0000     0.0000      28.25  550      443.2033       10.5963           nan           nan           nan           nan
 5    -0.5000    -0.5000      28.25  100      839.5344       22.7861       82.2572       14.0402      101.6305       14.0486
 5    -0.5000    -0.5000      28.25  150     1190.1530       26.7517       81.9400       17.3100           nan           nan
 5    -0.5000    -0.5000      28.25  200     1250.6759       25.2852       76.9000       19.0050           nan           nan
 5    -0.5000    -0.5000      28.25  250     1409.5401       27.9548       72.1500       25.3950           nan           nan
 5    -0.5000    -0.5000      28.25  275     3123.9819       43.2732       66.2200       32.2400           nan           nan
 5    -0.5000    -0.5000      28.25  300     4375.6948       64.0563           nan       54.4650           nan           nan
 5    -0.5000    -0.5000      28.25  350      785.6494      108.1984           nan           nan           nan           nan
 5    -0.5000    -0.5000      28.25  450      322.0776       37.1061           nan           nan           nan           nan
 5    -0.5000    -0.5000      28.25  550      214.1433       40.2235           nan           nan           nan           nan
 6    -0.5000     0.0000      28.25  100       54.6628       20.4956      165.5900       28.1550           nan           nan
 6    -0.5000     0.0000      28.25  150       90.3917       19.6053      161.7800       30.9650           nan           nan
 6    -0.5000     0.0000      28.25  200      150.5446       23.0173      155.4600       33.9600           nan           nan
 6    -0.5000     0.0000      28.25  250      111.1358       26.1045      156.8300       33.2900           nan           nan
 6    -0.5000     0.0000      28.25  275      101.9683       21.2294      151.9300       61.4250           nan           nan
 6    -0.5000     0.0000      28.25  300      128.7461       30.3988           nan       81.2350           nan           nan
 6    -0.5000     0.0000      28.25  350      142.0720       21.2378           nan           nan           nan           nan
 6    -0.5000     0.0000      28.25  450      165.0189       23.9834           nan           nan           nan           nan
 6    -0.5000     0.0000      28.25  550      192.7319       24.5330           nan           nan           nan           nan
 7    -0.2500    -0.2500      28.25  100      155.4951       11.1787      103.2000       16.9750           nan           nan
 7    -0.2500    -0.2500      28.25  150       93.4845       14.2925      117.2900       22.3600           nan           nan
 7    -0.2500    -0.2500      28.25  200      136.0046       13.9256      110.6400       20.2600           nan           nan
 7    -0.2500    -0.2500      28.25  250      165.7487       17.0018      105.4800       23.1250           nan           nan
 7    -0.2500    -0.2500      28.25  275      175.7280       12.4902      112.7600       50.6050           nan           nan
 7    -0.2500    -0.2500      28.25  300      126.0544       15.6135           nan      110.5100           nan           nan
 7    -0.2500    -0.2500      28.25  350      165.9778       12.6834           nan           nan           nan           nan
 7    -0.2500    -0.2500      28.25  450      247.8371       20.0036           nan           nan           nan           nan
 7    -0.2500    -0.2500      28.25  550      289.6797       15.6136           nan           nan           nan           nan
