# H(r.l.u.)	K(r.l.u.)	dQ(r.l.u.)
     0.49999958      0.00000000      0.00000000
     0.49999958      0.00390625      0.00390625
     0.49999958      0.00781250      0.00781250
     0.49999958      0.01171875      0.01171875
     0.49999958      0.01562500      0.01562500
     0.49999958      0.01953118      0.01953118
     0.49999958      0.02343748      0.02343748
     0.49999958      0.02734377      0.02734377
     0.49999958      0.03125007      0.03125007
     0.49999958      0.03515621      0.03515621
     0.49999958      0.03906251      0.03906251
     0.49999958      0.04296881      0.04296881
     0.49999958      0.04687495      0.04687495
     0.49999958      0.05078125      0.05078125
     0.49999958      0.05468755      0.05468755
     0.49999958      0.05859369      0.05859369
     0.49999958      0.06249999      0.06249999
     0.49999958      0.06640629      0.06640629
     0.49999958      0.07031243      0.07031243
     0.49999958      0.07421872      0.07421872
     0.49999958      0.07812502      0.07812502
     0.49999958      0.08203132      0.08203132
     0.49999958      0.08593746      0.08593746
     0.49999958      0.08984376      0.08984376
     0.49999958      0.09375006      0.09375006
     0.49999958      0.09765620      0.09765620
     0.49999958      0.10156250      0.10156250
     0.49999958      0.10546880      0.10546880
     0.49999958      0.10937494      0.10937494
     0.49999958      0.11328124      0.11328124
     0.49999958      0.11718754      0.11718754
     0.49999958      0.12109368      0.12109368
     0.49999958      0.12499997      0.12499997
     0.49999958      0.12890627      0.12890627
     0.49999958      0.13281257      0.13281257
     0.49999958      0.13671871      0.13671871
     0.49999958      0.14062501      0.14062501
     0.49999958      0.14453131      0.14453131
     0.49999958      0.14843745      0.14843745
     0.49999958      0.15234375      0.15234375
     0.49999958      0.15625005      0.15625005
     0.49999958      0.16015603      0.16015603
     0.49999958      0.16406328      0.16406328
     0.49999958      0.16796894      0.16796894
     0.49999958      0.17187461      0.17187461
     0.49999958      0.17578186      0.17578186
     0.49999958      0.17968752      0.17968752
     0.49999958      0.18359318      0.18359318
     0.49999958      0.18750044      0.18750044
     0.49999958      0.19140610      0.19140610
     0.49999958      0.19531176      0.19531176
     0.49999958      0.19921902      0.19921902
     0.49999958      0.20312468      0.20312468
     0.49999958      0.20703193      0.20703193
     0.49999958      0.21093760      0.21093760
     0.49999958      0.21484326      0.21484326
     0.49999958      0.21875051      0.21875051
     0.49999958      0.22265617      0.22265617
     0.49999958      0.22656184      0.22656184
     0.49999958      0.23046909      0.23046909
     0.49999958      0.23437475      0.23437475
     0.49999958      0.23828201      0.23828201
     0.49999958      0.24218767      0.24218767
     0.49999958      0.24609333      0.24609333
     0.49999958      0.25000058      0.25000058
     0.49999958      0.25390625      0.25390625
     0.49999958      0.25781191      0.25781191
     0.49999958      0.26171916      0.26171916
     0.49999958      0.26562483      0.26562483
     0.49999958      0.26953049      0.26953049
     0.49999958      0.27343774      0.27343774
     0.49999958      0.27734340      0.27734340
     0.49999958      0.28125066      0.28125066
     0.49999958      0.28515632      0.28515632
     0.49999958      0.28906198      0.28906198
     0.49999958      0.29296924      0.29296924
     0.49999958      0.29687490      0.29687490
     0.49999958      0.30078056      0.30078056
     0.49999958      0.30468781      0.30468781
     0.49999958      0.30859348      0.30859348
     0.49999958      0.31250073      0.31250073
     0.49999958      0.31640639      0.31640639
     0.49999958      0.32031206      0.32031206
     0.49999958      0.32421931      0.32421931
     0.49999958      0.32812497      0.32812497
     0.49999958      0.33203063      0.33203063
     0.49999958      0.33593789      0.33593789
     0.49999958      0.33984355      0.33984355
     0.49999958      0.34374921      0.34374921
     0.49999958      0.34765647      0.34765647
     0.49999958      0.35156213      0.35156213
     0.49999958      0.35546938      0.35546938
     0.49999958      0.35937504      0.35937504
     0.49999958      0.36328071      0.36328071
     0.49999958      0.36718796      0.36718796
     0.49999958      0.37109362      0.37109362
     0.49999958      0.37499929      0.37499929
     0.49999958      0.37890654      0.37890654
     0.49999958      0.38281220      0.38281220
     0.49999958      0.38671946      0.38671946
     0.49999958      0.39062512      0.39062512
     0.49999958      0.39453078      0.39453078
     0.49999958      0.39843803      0.39843803
     0.49999958      0.40234370      0.40234370
     0.49999958      0.40624936      0.40624936
     0.49999958      0.41015661      0.41015661
     0.49999958      0.41406227      0.41406227
     0.49999958      0.41796953      0.41796953
     0.49999958      0.42187519      0.42187519
     0.49999958      0.42578085      0.42578085
     0.49999958      0.42968811      0.42968811
     0.49999958      0.43359377      0.43359377
     0.49999958      0.43749943      0.43749943
     0.49999958      0.44140669      0.44140669
     0.49999958      0.44531235      0.44531235
     0.49999958      0.44921801      0.44921801
     0.49999958      0.45312526      0.45312526
     0.49999958      0.45703093      0.45703093
     0.49999958      0.46093818      0.46093818
     0.49999958      0.46484384      0.46484384
     0.49999958      0.46874950      0.46874950
     0.49999958      0.47265676      0.47265676
     0.49999958      0.47656242      0.47656242
     0.49999958      0.48046808      0.48046808
     0.49999958      0.48437534      0.48437534
     0.49999958      0.48828100      0.48828100
     0.49999958      0.49218825      0.49218825
     0.49999958      0.49609392      0.49609392
     0.49999958      0.49999958      0.49999958
     0.49609392      0.49609392      0.50552302
     0.49218825      0.49218825      0.51104646
     0.48828100      0.48828100      0.51657215
     0.48437534      0.48437534      0.52209559
     0.48046808      0.48046808      0.52762128
     0.47656242      0.47656242      0.53314472
     0.47265676      0.47265676      0.53866816
     0.46874950      0.46874950      0.54419385
     0.46484384      0.46484384      0.54971730
     0.46093818      0.46093818      0.55524074
     0.45703093      0.45703093      0.56076643
     0.45312526      0.45312526      0.56628987
     0.44921801      0.44921801      0.57181556
     0.44531235      0.44531235      0.57733900
     0.44140669      0.44140669      0.58286244
     0.43749943      0.43749943      0.58838813
     0.43359377      0.43359377      0.59391157
     0.42968811      0.42968811      0.59943501
     0.42578085      0.42578085      0.60496070
     0.42187519      0.42187519      0.61048415
     0.41796953      0.41796953      0.61600759
     0.41406227      0.41406227      0.62153328
     0.41015661      0.41015661      0.62705672
     0.40624936      0.40624936      0.63258241
     0.40234370      0.40234370      0.63810585
     0.39843803      0.39843803      0.64362929
     0.39453078      0.39453078      0.64915498
     0.39062512      0.39062512      0.65467842
     0.38671946      0.38671946      0.66020186
     0.38281220      0.38281220      0.66572755
     0.37890654      0.37890654      0.67125099
     0.37499929      0.37499929      0.67677669
     0.37109362      0.37109362      0.68230013
     0.36718796      0.36718796      0.68782357
     0.36328071      0.36328071      0.69334926
     0.35937504      0.35937504      0.69887270
     0.35546938      0.35546938      0.70439614
     0.35156213      0.35156213      0.70992183
     0.34765647      0.34765647      0.71544527
     0.34374921      0.34374921      0.72097096
     0.33984355      0.33984355      0.72649440
     0.33593789      0.33593789      0.73201784
     0.33203063      0.33203063      0.73754354
     0.32812497      0.32812497      0.74306698
     0.32421931      0.32421931      0.74859042
     0.32031206      0.32031206      0.75411611
     0.31640639      0.31640639      0.75963955
     0.31250073      0.31250073      0.76516299
     0.30859348      0.30859348      0.77068868
     0.30468781      0.30468781      0.77621212
     0.30078056      0.30078056      0.78173781
     0.29687490      0.29687490      0.78726125
     0.29296924      0.29296924      0.79278469
     0.28906198      0.28906198      0.79831039
     0.28515632      0.28515632      0.80383383
     0.28125066      0.28125066      0.80935727
     0.27734340      0.27734340      0.81488296
     0.27343774      0.27343774      0.82040640
     0.26953049      0.26953049      0.82593209
     0.26562483      0.26562483      0.83145553
     0.26171916      0.26171916      0.83697897
     0.25781191      0.25781191      0.84250466
     0.25390625      0.25390625      0.84802810
     0.25000058      0.25000058      0.85355154
     0.24609333      0.24609333      0.85907724
     0.24218767      0.24218767      0.86460068
     0.23828201      0.23828201      0.87012412
     0.23437475      0.23437475      0.87564981
     0.23046909      0.23046909      0.88117325
     0.22656184      0.22656184      0.88669894
     0.22265617      0.22265617      0.89222238
     0.21875051      0.21875051      0.89774582
     0.21484326      0.21484326      0.90327151
     0.21093760      0.21093760      0.90879495
     0.20703193      0.20703193      0.91431839
     0.20312468      0.20312468      0.91984409
     0.19921902      0.19921902      0.92536753
     0.19531176      0.19531176      0.93089322
     0.19140610      0.19140610      0.93641666
     0.18750044      0.18750044      0.94194010
     0.18359318      0.18359318      0.94746579
     0.17968752      0.17968752      0.95298923
     0.17578186      0.17578186      0.95851267
     0.17187461      0.17187461      0.96403836
     0.16796894      0.16796894      0.96956180
     0.16406328      0.16406328      0.97508524
     0.16015603      0.16015603      0.98061094
     0.15625005      0.15625005      0.98613483
     0.15234375      0.15234375      0.99165917
     0.14843745      0.14843745      0.99718351
     0.14453131      0.14453131      1.00270762
     0.14062501      0.14062501      1.00823196
     0.13671871      0.13671871      1.01375631
     0.13281257      0.13281257      1.01928042
     0.12890627      0.12890627      1.02480476
     0.12499997      0.12499997      1.03032910
     0.12109368      0.12109368      1.03585344
     0.11718754      0.11718754      1.04137756
     0.11328124      0.11328124      1.04690190
     0.10937494      0.10937494      1.05242624
     0.10546880      0.10546880      1.05795036
     0.10156250      0.10156250      1.06347470
     0.09765620      0.09765620      1.06899904
     0.09375006      0.09375006      1.07452316
     0.08984376      0.08984376      1.08004750
     0.08593746      0.08593746      1.08557184
     0.08203132      0.08203132      1.09109595
     0.07812502      0.07812502      1.09662029
     0.07421872      0.07421872      1.10214463
     0.07031243      0.07031243      1.10766898
     0.06640629      0.06640629      1.11319309
     0.06249999      0.06249999      1.11871743
     0.05859369      0.05859369      1.12424177
     0.05468755      0.05468755      1.12976589
     0.05078125      0.05078125      1.13529023
     0.04687495      0.04687495      1.14081457
     0.04296881      0.04296881      1.14633869
     0.03906251      0.03906251      1.15186303
     0.03515621      0.03515621      1.15738737
     0.03125007      0.03125007      1.16291148
     0.02734377      0.02734377      1.16843583
     0.02343748      0.02343748      1.17396017
     0.01953118      0.01953118      1.17948451
     0.01562500      0.01562500      1.18500867
     0.01171875      0.01171875      1.19053294
     0.00781250      0.00781250      1.19605721
     0.00390625      0.00390625      1.20158149
     0.00000000      0.00000000      1.20710576
     0.00390625      0.00000000      1.21101201
     0.00781250      0.00000000      1.21491826
     0.01171875      0.00000000      1.21882452
     0.01562500      0.00000000      1.22273077
