# Qid	H(r.l.u.)	K(r.l.u.)	qc		T(K)		TMCenter(meV)	LMCenter(meV)
 4      0.00      0.00    0.50       105.5556        77.4000       158.9000
 4      0.00      0.00    0.50       131.9444        77.3000       157.7000
 4      0.00      0.00    0.50       158.3333        77.3000       155.4000
 4      0.00      0.00    0.50       184.7222        77.4000       151.6000
 4      0.00      0.00    0.50       211.1111        76.3000       146.3000
 4      0.00      0.00    0.50       237.5000        76.1000       139.0000
 4      0.00      0.00    0.50       263.8889        79.2000       129.7000
 4      0.00      0.00    0.50       290.2778        83.4000       121.6000
 4      0.00      0.00    0.50       316.6667        81.1000       123.4000
 4      0.00      0.00    0.50       343.0556        84.0000       124.9000
 4      0.00      0.00    0.50       369.4444        86.8000       126.4000
 4      0.00      0.00    0.50       395.8333        88.3000       127.7000
 4      0.00      0.00    0.50       422.2222        90.3000       128.9000
 4      0.00      0.00    0.50       448.6111        91.4000       130.0000
 5      0.50      0.50    0.50       105.5556        69.8000       107.0000
 5      0.50      0.50    0.50       131.9444        70.1000       105.1000
 5      0.50      0.50    0.50       158.3333        70.7000       101.5000
 5      0.50      0.50    0.50       184.7222        71.6000        95.5000
 5      0.50      0.50    0.50       211.1111        73.0000        86.4000
 5      0.50      0.50    0.50       237.5000        75.1000        72.8000
 5      0.50      0.50    0.50       263.8889        78.6000        50.8000
 5      0.50      0.50    0.50       290.2778        85.0000        12.2000
 5      0.50      0.50    0.50       316.6667        86.1000        29.6000
 5      0.50      0.50    0.50       343.0556        87.1000        39.7000
 5      0.50      0.50    0.50       369.4444        87.9000        47.2000
 5      0.50      0.50    0.50       395.8333        88.6000        53.2000
 5      0.50      0.50    0.50       422.2222        89.2000        58.3000
 5      0.50      0.50    0.50       448.6111        89.8000        62.6000
