# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -291.4189539171      -0.2116740996       0.2589887532
   -280.0189539176      -0.3065762962       0.2494021836
   -268.6189539180       0.3095832194       0.2737597028
   -257.2189539184      -0.1248667317       0.2493536086
   -245.8189539188       0.2403717035       0.2615120125
   -234.4189539173       0.1432843991       0.2530934756
   -223.0189539177       0.2436910600       0.2533675667
   -211.6189539181       0.1522712276       0.2456957848
   -200.2189539186      -0.2739601626       0.2237473827
   -188.8189539190      -0.2286704767       0.2225203201
   -177.4189539174      -0.2047313454       0.2204443332
   -166.0189539178      -0.0715004489       0.2230247593
   -154.6189539183       0.3521387587       0.2398813930
   -143.2189539187       0.0016712750       0.2230703311
   -131.8189539171       0.1401121460       0.2256193139
   -120.4189539175       0.0844518242       0.2206525386
   -109.0189539180       0.0482172021       0.2165716737
    -97.6189539184       0.1270040685       0.2169457278
    -86.2189539188       0.2565521040       0.2217279456
    -74.8189539172      -0.1907220145       0.2000185980
    -63.4189539177       0.7965033483       0.2325196927
    -52.0189539181       0.7042256336       0.2269943559
    -40.6189539185       1.6158823740       0.2522801612
    -29.2189539189       3.6534769186       0.3020611864
    -17.8189539174       5.1074315948       0.3310533513
     -6.4189539178       6.1089828747       0.3479444540
      4.9810460818       7.6452206313       0.3731227961
     16.3810460813       8.1278122103       0.3780054466
     27.7810460809       6.0452873013       0.3400175947
     39.1810460825       3.9884131811       0.2977660811
     50.5810460821       1.7007525403       0.2399540356
     61.9810460816       1.5513204750       0.2381853869
     73.3810460812       1.1190188259       0.2259847567
     84.7810460828       1.5656197230       0.2386112758
     96.1810460824       2.0117219614       0.2505763221
    107.5810460819       1.8785001428       0.2494823072
    118.9810460815       2.7472976696       0.2691662459
    130.3810460811       2.7615404553       0.2695404674
    141.7810460827       3.1954186273       0.2799224806
    153.1810460822       3.3534360251       0.2836148142
    164.5810460818       3.8134999945       0.2940828879
    175.9810460814       3.7614452886       0.2929289544
    187.3810460810       3.3153515934       0.2827621699
    198.7810460825       3.9859150615       0.2979449538
    210.1810460821       3.4344230304       0.2855340342
    221.5810460817       3.2243189069       0.2806611852
    232.9810460812       2.7262823617       0.2687812177
    244.3810460828       3.0289211212       0.2760896776
    255.7810460824       2.7528657348       0.2694376168
    267.1810460820       2.4935265307       0.2605381739
    278.5810460815       2.6478882535       0.2668690618
    289.9810460811       1.8702485726       0.2493985657
    301.3810460827       1.3738809499       0.2334227125
    312.7810460823       2.4110974183       0.2609676453
    324.1810460818       1.7416904329       0.2435523084
    335.5810460814       1.8574764727       0.2490720759
    346.9810460810       1.1174533002       0.2306005444
    358.3810460826       1.6709935488       0.2489576327
    369.7810460821       1.4935256924       0.2464741579
    381.1810460817       1.2794172330       0.2427634576
    392.5810460813       1.4864334509       0.2515758631
    403.9810460829       0.7766707039       0.2322147519
    415.3810460824       1.6341887388       0.2616687816
    426.7810460820       1.0636990167       0.2499126493
    438.1810460816       1.4374112132       0.2617795508
    449.5810460811       0.7833958872       0.2377908684
    460.9810460827       1.3232949656       0.2613316592
    472.3810460823       1.8015122739       0.2795874748
    483.7810460819       1.8137606906       0.2835274462
    495.1810460814       1.8449705390       0.2882190265
    506.5810460810       2.3207508655       0.3067601772
    517.9810460826       2.5003856344       0.3164285090
    529.3810460822       2.3589464825       0.3166055034
    540.7810460817       2.8518793956       0.3363021518
    552.1810460813       3.3117865339       0.3550196235
    563.5810460829       2.4987792077       0.3355963825
    574.9810460825       3.5505463045       0.3734165924
    586.3810460820       3.5557198741       0.3797232505
    597.7810460816       4.3847480922       0.4106702252
    609.1810460812       4.5972322768       0.4167332731
    620.5810460828       3.8777694230       0.4102601380
