# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -349.9729765271      -0.1014132435       0.2866731415
   -344.2729765273       0.2916267711       0.3285238536
   -338.5729765276      -0.2109787294       0.2687038219
   -332.8729765278       0.6739589548       0.3579642258
   -327.1729765280      -0.1914379075       0.2660200671
   -321.4729765282      -0.0077677379       0.2863764809
   -315.7729765284      -0.1301354981       0.2729919240
   -310.0729765286       0.4166314205       0.3227224976
   -304.3729765288      -0.3490071514       0.2430171421
   -298.6729765291       0.4724383155       0.3223400731
   -292.9729765273       0.0708347581       0.2843654510
   -287.2729765275      -0.1372393051       0.2587730500
   -281.5729765277       0.3560067064       0.3065861075
   -275.8729765279       0.0376854197       0.2723421460
   -270.1729765281       0.3033021801       0.2971200951
   -264.4729765283       0.0478717910       0.2692115577
   -258.7729765285       0.5117059322       0.3104497382
   -253.0729765288       0.1077347766       0.2708788544
   -247.3729765290       0.6587095406       0.3177617928
   -241.6729765272      -0.2765032359       0.2290818802
   -235.9729765274      -0.0443090726       0.2562617030
   -230.2729765276      -0.5434052049       0.1958686887
   -224.5729765278      -0.0220552879       0.2511455259
   -218.8729765280      -0.4011990533       0.2123802705
   -213.1729765283       0.0348014521       0.2530102020
   -207.4729765285       0.0794210670       0.2569098602
   -201.7729765287      -0.2257319091       0.2250521176
   -196.0729765289       0.0873881741       0.2542721816
   -190.3729765271      -0.2114480973       0.2234830435
   -184.6729765273       0.7076830861       0.3002886964
   -178.9729765275      -0.1971222795       0.2220624269
   -173.2729765277       0.3141573178       0.2666373657
   -167.5729765280      -0.3501813395       0.2042897221
   -161.8729765282       0.3573701633       0.2668014233
   -156.1729765284      -0.0894545113       0.2265789109
   -150.4729765286      -0.1307179775       0.2227906269
   -144.7729765288      -0.1188365006       0.2213017499
   -139.0729765290       0.4367342583       0.2664985700
   -133.3729765272      -0.0787925078       0.2248953098
   -127.6729765274       0.3956982228       0.2603812790
   -121.9729765277      -0.0712327505       0.2227775768
   -116.2729765279      -0.2251047345       0.2090721088
   -110.5729765281       0.5829911605       0.2708118798
   -104.8729765283      -0.3118145995       0.1963861632
    -99.1729765285       0.3185212471       0.2488764147
    -93.4729765287      -0.4428775968       0.1816229800
    -87.7729765289       0.4637667513       0.2566457141
    -82.0729765271      -0.2841035381       0.1947863830
    -76.3729765274       0.7461124177       0.2730198051
    -70.6729765276      -0.2015156413       0.2000982366
    -64.9729765278       0.2855661336       0.2387166107
    -59.2729765280      -0.3950882245       0.1806489273
    -53.5729765282       0.4579592612       0.2484786337
    -47.8729765284      -0.0875181406       0.2077139047
    -42.1729765286       0.5227534316       0.2503898320
    -36.4729765289       0.1201185924       0.2217783413
    -30.7729765291      -0.2677775623       0.1885635167
    -25.0729765273       0.3872367394       0.2387641482
    -19.3729765275      -0.0954220298       0.2010521809
    -13.6729765277       0.6889907738       0.2611930931
     -7.9729765279       0.3862944553       0.2364148094
     -2.2729765281       1.0741111270       0.2819125700
      3.4270234716       0.0917702836       0.2175046729
      9.1270234714       1.2034140705       0.2892295892
     14.8270234712       0.4189814293       0.2408629432
