# EnergLoss(meV)		Intensity(a.u.)		Errorbar
   -291.0607964229      -0.0559926311       0.2765226873
   -279.6607964233      -0.6184980549       0.2437709455
   -268.2607964238      -0.0928632384       0.2648011421
   -256.8607964242      -0.3098095178       0.2501875749
   -245.4607964246      -0.6260210443       0.2308940695
   -234.0607964230       0.0908118327       0.2595586839
   -222.6607964235      -0.1966326409       0.2431825154
   -211.2607964239      -0.0533217391       0.2455730312
   -199.8607964243      -0.2795356903       0.2323636944
   -188.4607964248      -0.2005773018       0.2323493974
   -177.0607964232       0.0824049359       0.2405111877
   -165.6607964236      -0.1662006983       0.2273646140
   -154.2607964240      -0.0004723861       0.2339795398
   -142.8607964245       0.0292760490       0.2320398702
   -131.4607964229       0.0049872286       0.2281204788
   -120.0607964233       0.4078998048       0.2400099762
   -108.6607964237       0.1755397974       0.2287563389
    -97.2607964242       0.1331100612       0.2244854020
    -85.8607964246       0.5391666499       0.2387236348
    -74.4607964230       0.3953124878       0.2284074883
    -63.0607964234       0.4418551805       0.2274130066
    -51.6607964239       0.9162447397       0.2400522219
    -40.2607964243       1.1675224684       0.2450465793
    -28.8607964247       2.9573404781       0.2902307877
    -17.4607964231       5.5365748517       0.3441124785
     -6.0607964236       9.7043344391       0.4158097677
      5.3392035760      10.4856774167       0.4242142678
     16.7392035756       7.3264852379       0.3674737577
     28.1392035751       4.5579113532       0.3141813978
     39.5392035767       2.9829511308       0.2793548607
     50.9392035763       1.6870647519       0.2447351961
     62.3392035759       1.3303370807       0.2374099464
     73.7392035754       1.3430605417       0.2377503335
     85.1392035770       1.6836468789       0.2469548978
     96.5392035766       2.9412326720       0.2783179934
    107.9392035762       2.0413591928       0.2587513895
    119.3392035757       2.1279333515       0.2584420139
    130.7392035753       1.6296525687       0.2454760588
    142.1392035769       1.7740937796       0.2493093402
    153.5392035765       2.0881752969       0.2574207467
    164.9392035760       1.8518899263       0.2513239791
    176.3392035756       1.6420957916       0.2457903492
    187.7392035752       1.1704543299       0.2328816211
    199.1392035768       1.1050498971       0.2310374503
    210.5392035763       1.1700959837       0.2328614625
    221.9392035759       1.1571314233       0.2325003208
    233.3392035755       0.7379564803       0.2203758963
    244.7392035771       0.9863164914       0.2276224482
    256.1392035766       0.6719371789       0.2183892876
    267.5392035762       0.3076443629       0.2052127159
    278.9392035758       0.3310343747       0.2079040385
    290.3392035753       0.3957815265       0.2119827256
    301.7392035769       0.4744542694       0.2123534468
    313.1392035765       0.6186724529       0.2167597545
    324.5392035761       0.0290573393       0.1981396680
    335.9392035756       0.0475647857       0.2006815158
    347.3392035752       0.2301702045       0.2087130274
    358.7392035768      -0.1909194001       0.1964639990
    370.1392035764      -0.0479905848       0.2035400528
    381.5392035759       0.0715406364       0.2098406941
    392.9392035755      -0.1731735254       0.2033911771
    404.3392035771       0.0702675269       0.2143973786
    415.7392035767       0.4019908899       0.2283353343
    427.1392035762       0.2870493109       0.2296879867
    438.5392035758       0.6762097364       0.2430366437
    449.9392035754       0.1480874620       0.2221075045
    461.3392035770       0.6650361405       0.2455883751
    472.7392035765       0.8920963691       0.2562925281
    484.1392035761       0.6595517531       0.2516183653
    495.5392035757       1.0774049258       0.2691854629
    506.9392035752       1.4809015267       0.2860723549
    518.3392035768       1.6610820971       0.2958268112
    529.7392035764       1.0546556915       0.2796870290
    541.1392035760       1.6722772203       0.3047370946
    552.5392035755       2.4518945326       0.3342876370
    563.9392035771       2.6633281614       0.3460120497
    575.3392035767       2.1864708771       0.3363280122
    586.7392035763       2.0408350434       0.3370208390
    598.1392035758       2.8467875268       0.3693244621
    609.5392035754       2.7994979630       0.3678076695
    620.9392035770       3.3529801174       0.3990613022
