# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -213.5563310751         0.3475031408         0.0681833935         0.0000000000        -0.4949843313
     -213.4423310751         0.3478718246         0.0682839222         0.0000000000        -0.4952251438
     -213.3283310751         0.3482410957         0.0683845598         0.0000000000        -0.4954648987
     -213.2143310751         0.3486109553         0.0684853067         0.0000000000        -0.4957035938
     -213.1003310751         0.3489814047         0.0685861636         0.0000000000        -0.4959412268
     -212.9863310751         0.3493524451         0.0686871309         0.0000000000        -0.4961777956
     -212.8723310751         0.3497240778         0.0687882091         0.0000000000        -0.4964132980
     -212.7583310751         0.3500963041         0.0688893989         0.0000000000        -0.4966477319
     -212.6443310751         0.3504691252         0.0689907007         0.0000000000        -0.4968810951
     -212.5303310751         0.3508425424         0.0690921150         0.0000000000        -0.4971133855
     -212.4163310751         0.3512165569         0.0691936423         0.0000000000        -0.4973446009
     -212.3023310751         0.3515911701         0.0692952833         0.0000000000        -0.4975747393
     -212.1883310751         0.3519663832         0.0693970384         0.0000000000        -0.4978037985
     -212.0743310751         0.3523421974         0.0694989082         0.0000000000        -0.4980317765
     -211.9603310751         0.3527186142         0.0696008932         0.0000000000        -0.4982586713
     -211.8463310751         0.3530956347         0.0697029940         0.0000000000        -0.4984844806
     -211.7323310751         0.3534732603         0.0698052111         0.0000000000        -0.4987092026
     -211.6183310751         0.3538514923         0.0699075451         0.0000000000        -0.4989328352
     -211.5043310751         0.3542303319         0.0700099965         0.0000000000        -0.4991553763
     -211.3903310751         0.3546097805         0.0701125658         0.0000000000        -0.4993768240
     -211.2763310751         0.3549898393         0.0702152537         0.0000000000        -0.4995971763
     -211.1623310751         0.3553705097         0.0703180606         0.0000000000        -0.4998164312
     -211.0483310751         0.3557517930         0.0704209872         0.0000000000        -0.5000345866
     -210.9343310751         0.3561336905         0.0705240340         0.0000000000        -0.5002516408
     -210.8203310751         0.3565162036         0.0706272015         0.0000000000        -0.5004675917
     -210.7063310751         0.3568993335         0.0707304904         0.0000000000        -0.5006824374
     -210.5923310751         0.3572830816         0.0708339012         0.0000000000        -0.5008961761
     -210.4783310751         0.3576674491         0.0709374344         0.0000000000        -0.5011088057
     -210.3643310751         0.3580524376         0.0710410907         0.0000000000        -0.5013203244
     -210.2503310751         0.3584380482         0.0711448707         0.0000000000        -0.5015307304
     -210.1363310751         0.3588242823         0.0712487748         0.0000000000        -0.5017400218
     -210.0223310751         0.3592111413         0.0713528037         0.0000000000        -0.5019481968
     -209.9083310751         0.3595986266         0.0714569580         0.0000000000        -0.5021552535
     -209.7943310751         0.3599867394         0.0715612383         0.0000000000        -0.5023611900
     -209.6803310751         0.3603754811         0.0716656451         0.0000000000        -0.5025660047
     -209.5663310751         0.3607648532         0.0717701791         0.0000000000        -0.5027696957
     -209.4523310751         0.3611548568         0.0718748408         0.0000000000        -0.5029722612
     -209.3383310751         0.3615454936         0.0719796308         0.0000000000        -0.5031736995
     -209.2243310751         0.3619367647         0.0720845498         0.0000000000        -0.5033740089
     -209.1103310751         0.3623286715         0.0721895983         0.0000000000        -0.5035731875
     -208.9963310751         0.3627212155         0.0722947769         0.0000000000        -0.5037712338
     -208.8823310751         0.3631143981         0.0724000863         0.0000000000        -0.5039681458
     -208.7683310751         0.3635082205         0.0725055270         0.0000000000        -0.5041639221
     -208.6543310751         0.3639026843         0.0726110998         0.0000000000        -0.5043585609
     -208.5403310751         0.3642977908         0.0727168050         0.0000000000        -0.5045520606
     -208.4263310751         0.3646935413         0.0728226435         0.0000000000        -0.5047444194
     -208.3123310751         0.3650899374         0.0729286158         0.0000000000        -0.5049356358
     -208.1983310751         0.3654869803         0.0730347226         0.0000000000        -0.5051257081
     -208.0843310751         0.3658846716         0.0731409644         0.0000000000        -0.5053146348
     -207.9703310751         0.3662830126         0.0732473419         0.0000000000        -0.5055024142
     -207.8563310751         0.3666820048         0.0733538557         0.0000000000        -0.5056890448
     -207.7423310751         0.3670816495         0.0734605065         0.0000000000        -0.5058745250
     -207.6283310751         0.3674819482         0.0735672948         0.0000000000        -0.5060588532
     -207.5143310751         0.3678829023         0.0736742214         0.0000000000        -0.5062420280
