# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -190.1845402623         0.0335972370         0.0119286559         0.0000000000         0.0000000000
     -190.0845402623         0.0336323697         0.0119576130         0.0000000000         0.0000000000
     -189.9845402623         0.0336675578         0.0119866414         0.0000000000         0.0000000000
     -189.8845402623         0.0337028013         0.0120157412         0.0000000000         0.0000000000
     -189.7845402623         0.0337381003         0.0120449126         0.0000000000         0.0000000000
     -189.6845402623         0.0337734551         0.0120741557         0.0000000000         0.0000000000
     -189.5845402623         0.0338088657         0.0121034709         0.0000000000         0.0000000000
     -189.4845402623         0.0338443322         0.0121328581         0.0000000000         0.0000000000
     -189.3845402623         0.0338798548         0.0121623176         0.0000000000         0.0000000000
     -189.2845402623         0.0339154335         0.0121918496         0.0000000000         0.0000000000
     -189.1845402623         0.0339510685         0.0122214542         0.0000000000         0.0000000000
     -189.0845402623         0.0339867599         0.0122511316         0.0000000000         0.0000000000
     -188.9845402623         0.0340225079         0.0122808819         0.0000000000         0.0000000000
     -188.8845402623         0.0340583125         0.0123107054         0.0000000000         0.0000000000
     -188.7845402623         0.0340941739         0.0123406021         0.0000000000         0.0000000000
     -188.6845402623         0.0341300921         0.0123705723         0.0000000000         0.0000000000
     -188.5845402623         0.0341660674         0.0124006162         0.0000000000         0.0000000000
     -188.4845402623         0.0342020998         0.0124307339         0.0000000000         0.0000000000
     -188.3845402623         0.0342381894         0.0124609255         0.0000000000         0.0000000000
     -188.2845402623         0.0342743364         0.0124911913         0.0000000000         0.0000000000
     -188.1845402623         0.0343105409         0.0125215314         0.0000000000         0.0000000000
     -188.0845402623         0.0343468031         0.0125519460         0.0000000000         0.0000000000
     -187.9845402623         0.0343831229         0.0125824353         0.0000000000         0.0000000000
     -187.8845402623         0.0344195007         0.0126129994         0.0000000000         0.0000000000
     -187.7845402623         0.0344559364         0.0126436386         0.0000000000         0.0000000000
     -187.6845402623         0.0344924302         0.0126743529         0.0000000000         0.0000000000
     -187.5845402623         0.0345289823         0.0127051426         0.0000000000         0.0000000000
     -187.4845402623         0.0345655927         0.0127360078         0.0000000000         0.0000000000
     -187.3845402623         0.0346022616         0.0127669487         0.0000000000         0.0000000000
     -187.2845402623         0.0346389891         0.0127979655         0.0000000000         0.0000000000
     -187.1845402623         0.0346757753         0.0128290584         0.0000000000         0.0000000000
