# EnergyLoss(meV)	Quasi-elastic(a.u.)	TransverseMode(a.u.)	LongitudinalMode(a.u.)	MagneticContinuum(a.u.)
     -211.8372446841         0.0530950498         0.0188165978         0.0000000000         0.0000000000
     -211.7232446841         0.0531520762         0.0188587636         0.0000000000         0.0000000000
     -211.6092446841         0.0532091948         0.0189010382         0.0000000000         0.0000000000
     -211.4952446841         0.0532664058         0.0189434220         0.0000000000         0.0000000000
     -211.3812446841         0.0533237093         0.0189859154         0.0000000000         0.0000000000
     -211.2672446841         0.0533811056         0.0190285187         0.0000000000         0.0000000000
     -211.1532446841         0.0534385949         0.0190712322         0.0000000000         0.0000000000
     -211.0392446841         0.0534961774         0.0191140563         0.0000000000         0.0000000000
     -210.9252446841         0.0535538533         0.0191569914         0.0000000000         0.0000000000
     -210.8112446841         0.0536116228         0.0192000377         0.0000000000         0.0000000000
     -210.6972446841         0.0536694860         0.0192431957         0.0000000000         0.0000000000
     -210.5832446841         0.0537274432         0.0192864657         0.0000000000         0.0000000000
     -210.4692446841         0.0537854947         0.0193298481         0.0000000000         0.0000000000
     -210.3552446841         0.0538436405         0.0193733432         0.0000000000         0.0000000000
     -210.2412446841         0.0539018810         0.0194169513         0.0000000000         0.0000000000
     -210.1272446841         0.0539602163         0.0194606729         0.0000000000         0.0000000000
     -210.0132446841         0.0540186466         0.0195045083         0.0000000000         0.0000000000
     -209.8992446841         0.0540771721         0.0195484579         0.0000000000         0.0000000000
     -209.7852446841         0.0541357930         0.0195925220         0.0000000000         0.0000000000
     -209.6712446841         0.0541945096         0.0196367010         0.0000000000         0.0000000000
     -209.5572446841         0.0542533221         0.0196809952         0.0000000000         0.0000000000
     -209.4432446841         0.0543122306         0.0197254051         0.0000000000         0.0000000000
     -209.3292446841         0.0543712354         0.0197699309         0.0000000000         0.0000000000
     -209.2152446841         0.0544303367         0.0198145731         0.0000000000         0.0000000000
     -209.1012446841         0.0544895346         0.0198593321         0.0000000000         0.0000000000
     -208.9872446841         0.0545488295         0.0199042081         0.0000000000         0.0000000000
     -208.8732446841         0.0546082215         0.0199492017         0.0000000000         0.0000000000
     -208.7592446841         0.0546677108         0.0199943131         0.0000000000         0.0000000000
     -208.6452446841         0.0547272977         0.0200395427         0.0000000000         0.0000000000
     -208.5312446841         0.0547869823         0.0200848910         0.0000000000         0.0000000000
     -208.4172446841         0.0548467649         0.0201303582         0.0000000000         0.0000000000
     -208.3032446841         0.0549066457         0.0201759448         0.0000000000         0.0000000000
     -208.1892446841         0.0549666249         0.0202216511         0.0000000000         0.0000000000
     -208.0752446841         0.0550267027         0.0202674776         0.0000000000         0.0000000000
     -207.9612446841         0.0550868793         0.0203134246         0.0000000000         0.0000000000
     -207.8472446841         0.0551471550         0.0203594926         0.0000000000         0.0000000000
     -207.7332446841         0.0552075300         0.0204056818         0.0000000000         0.0000000000
     -207.6192446841         0.0552680044         0.0204519927         0.0000000000         0.0000000000
     -207.5052446841         0.0553285786         0.0204984256         0.0000000000         0.0000000000
     -207.3912446841         0.0553892527         0.0205449811         0.0000000000         0.0000000000
     -207.2772446841         0.0554500270         0.0205916594         0.0000000000         0.0000000000
     -207.1632446841         0.0555109016         0.0206384609         0.0000000000         0.0000000000
     -207.0492446841         0.0555718768         0.0206853861         0.0000000000         0.0000000000
     -206.9352446841         0.0556329529         0.0207324353         0.0000000000         0.0000000000
     -206.8212446841         0.0556941299         0.0207796090         0.0000000000         0.0000000000
     -206.7072446841         0.0557554083         0.0208269075         0.0000000000         0.0000000000
     -206.5932446841         0.0558167881         0.0208743312         0.0000000000         0.0000000000
     -206.4792446841         0.0558782697         0.0209218806         0.0000000000         0.0000000000
     -206.3652446841         0.0559398531         0.0209695560         0.0000000000         0.0000000000
     -206.2512446841         0.0560015388         0.0210173579         0.0000000000         0.0000000000
     -206.1372446841         0.0560633268         0.0210652866         0.0000000000         0.0000000000
     -206.0232446841         0.0561252175         0.0211133426         0.0000000000         0.0000000000
     -205.9092446841         0.0561872110         0.0211615263         0.0000000000         0.0000000000
     -205.7952446841         0.0562493075         0.0212098380         0.0000000000         0.0000000000
     -205.6812446841         0.0563115074         0.0212582783         0.0000000000         0.0000000000
     -205.5672446841         0.0563738108         0.0213068475         0.0000000000         0.0000000000
     -205.4532446841         0.0564362180         0.0213555459         0.0000000000         0.0000000000
     -205.3392446841         0.0564987292         0.0214043742         0.0000000000         0.0000000000
     -205.2252446841         0.0565613446         0.0214533325         0.0000000000         0.0000000000
     -205.1112446841         0.0566240645         0.0215024215         0.0000000000         0.0000000000
