# 	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)	Temperature(K)	e_fraction	e_fraction_err	e_sigma	e_sigma_err	e_amplitude	e_amplitude_err	e_height	e_height_err	e_FWHM	e_FWHM_err	PH_fraction	PH_fraction_err	PH_sigma	PH_sigma_err	PH_center	PH_center_err	PH_amplitude	PH_amplitude_err	PH_FWHM	PH_FWHM_err	TM_skew	TM_skew_err	TM_FWHM	TM_FWHM_err	TM_center	TM_center_err	TM_area	TM_area_err	CO_skew	CO_skew_err	CO_FWHM	CO_FWHM_err	CO_center	CO_center_err	CO_area	CO_area_err	LM_FWHM	LM_FWHM_err	LM_center	LM_center_err	LM_area	LM_area_err
    -0.500000     -1.000000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      6.546304      5.875489      0.181753      0.163129     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     16.910221      0.000000      0.010000      5.349574     28.097159      0.000000      0.374381      0.111010     49.560000           nan    150.360000           nan    505.517952           nan      2.696340      5.218726     64.740000           nan    242.650000           nan     59.630332           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.875000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      8.129201      4.254646      0.225701      0.118127     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.698336      0.181619     45.860000           nan    132.040000           nan    466.499991           nan      0.296306      0.106047    114.960000           nan    227.720000           nan     76.673489           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.750000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     20.716174      4.557432      0.575169      0.126534     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.379664      0.079209     36.930000           nan    107.040000           nan    513.983455           nan      0.315503      0.148801     98.540000           nan    225.880000           nan    111.767137           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.625000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     13.908374      5.729778      0.386156      0.159083     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.117164      0.053005     28.030800           nan     75.634500           nan    710.973968           nan      0.335835      0.076771     98.429900           nan    166.573600           nan    107.219289           nan           nan           nan           nan           nan           nan           nan
    -0.500000     -0.500000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     14.232704      5.741456      0.395161      0.159407     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.795274      0.000000      6.117632      7.240139     28.097159      0.000000      0.063331      0.051040     28.077800           nan     77.899300           nan    930.099875           nan      0.379187      0.093187     98.576600           nan    165.677600           nan    129.982712           nan           nan           nan           nan           nan           nan           nan
    -0.562500     -0.562500     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     19.083737      5.820883      0.529846      0.161613     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.107601      0.048624     28.041200           nan     76.399600           nan    784.162137           nan      0.407693      0.103818     98.657800           nan    164.290400           nan    132.102465           nan           nan           nan           nan           nan           nan           nan
    -0.625000     -0.625000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000      9.182895      4.356781      0.254956      0.120963     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.247625      0.068271     31.770000           nan     90.020000           nan    598.180087           nan      0.508344      0.111181    139.200000           nan    183.960000           nan    137.433569           nan           nan           nan           nan           nan           nan           nan
    -0.687500     -0.687500     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     21.910721      4.383419      0.608335      0.121702     28.097159      0.000000           nan           nan           nan           nan           nan           nan           nan           nan           nan           nan      0.300089      0.072207     31.640000           nan     99.610000           nan    457.652642           nan      0.700620      0.225052    248.870000           nan    219.730000           nan    155.379078           nan           nan           nan           nan           nan           nan           nan
    -0.750000     -0.750000     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     33.548712      5.845026      0.931456      0.162283     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.966599      0.000000     18.382027      5.910009     28.097159      0.000000      0.282746      0.112215     31.300000           nan     99.740000           nan    347.568677           nan      0.644378      0.169759    182.810000           nan    206.810000           nan    157.251014           nan           nan           nan           nan           nan           nan           nan
    -0.812500     -0.812500     25.650000     20.000000      0.526192      0.000000     14.048579      0.000000     14.064946      5.422514      0.390503      0.150552     28.097159      0.000000      0.526192      0.000000     14.048579      0.000000     22.785234      0.000000     15.304379      5.364689     28.097159      0.000000      0.763907      0.189026     29.480000           nan    100.630000           nan    299.210458           nan      0.707164      0.257088    157.510000           nan    170.500000           nan    118.396955           nan           nan           nan           nan           nan           nan           nan
