# Tid	H(r.l.u.)	K(r.l.u.)	L(r.l.u.)		qc		T(K)	EAmplitude(a.u.)	EAmplitudeErr
 0    -0.5000    -0.5000      25.65        0.0      150.0       25.5842       21.1801
 0    -0.5000    -0.5000      26.16        0.1      150.0        7.2969       21.7052
 0    -0.5000    -0.5000      26.68        0.2      150.0      181.7648       27.4588
 0    -0.5000    -0.5000      27.19        0.3      150.0      560.5066       41.0777
 0    -0.5000    -0.5000      27.70        0.4      150.0      245.9545       36.4087
 0    -0.5000    -0.5000      28.22        0.5      150.0      284.7652       44.4237
 1    -0.5000    -0.5000      25.65        0.0      200.0        0.0011       27.8043
 1    -0.5000    -0.5000      26.16        0.1      200.0       81.1252       28.4195
 1    -0.5000    -0.5000      26.68        0.2      200.0      356.1162       37.0839
 1    -0.5000    -0.5000      27.19        0.3      200.0      823.9212       50.7573
 1    -0.5000    -0.5000      27.70        0.4      200.0      355.4799       48.4100
 1    -0.5000    -0.5000      28.22        0.5      200.0      361.0372       49.6071
 2    -0.5000    -0.5000      25.65        0.0      250.0        1.5000       32.1952
 2    -0.5000    -0.5000      26.16        0.1      250.0      144.8675       33.7290
 2    -0.5000    -0.5000      26.68        0.2      250.0      564.3626       46.2602
 2    -0.5000    -0.5000      27.19        0.3      250.0     1175.9219       60.2084
 2    -0.5000    -0.5000      27.70        0.4      250.0      860.6066       62.3291
 2    -0.5000    -0.5000      28.22        0.5      250.0      905.8752       62.7442
 3    -0.5000    -0.5000      25.65        0.0      275.0       50.4494       38.3540
 3    -0.5000    -0.5000      26.16        0.1      275.0      613.1993       49.6530
 3    -0.5000    -0.5000      26.68        0.2      275.0     2094.1347       75.1922
 3    -0.5000    -0.5000      27.19        0.3      275.0     4042.9748      100.1207
 3    -0.5000    -0.5000      27.70        0.4      275.0     4853.1981      110.3930
 3    -0.5000    -0.5000      28.22        0.5      275.0     5155.3006      121.9995
 3    -0.5000    -0.5000      28.73        0.6      275.0     6344.5774      132.2783
 3    -0.5000    -0.5000      29.24        0.7      275.0     4649.3619      121.3907
 3    -0.5000    -0.5000      29.76        0.8      275.0     1815.0083       97.7301
 3    -0.5000    -0.5000      30.27        0.9      275.0      436.1797       89.0004
 3    -0.5000    -0.5000      30.78        1.0      275.0       50.5785       94.2002
 4    -0.5000    -0.5000      25.65        0.0      287.5      189.1370       70.0695
 4    -0.5000    -0.5000      26.16        0.1      287.5     1622.2523      101.8211
 4    -0.5000    -0.5000      26.68        0.2      287.5     5318.6357      158.9402
 4    -0.5000    -0.5000      27.19        0.3      287.5     9778.3191      209.8703
 4    -0.5000    -0.5000      27.70        0.4      287.5    12489.8122      240.7162
 4    -0.5000    -0.5000      28.22        0.5      287.5    13837.6011      256.6898
 5    -0.5000    -0.5000      25.65        0.0      300.0      108.8277       49.9933
 5    -0.5000    -0.5000      26.16        0.1      300.0      733.0974       64.4628
 5    -0.5000    -0.5000      26.68        0.2      300.0     2582.5899       94.7828
 5    -0.5000    -0.5000      27.19        0.3      300.0     4396.5094      120.0092
 5    -0.5000    -0.5000      27.70        0.4      300.0     5576.5426      138.7188
 5    -0.5000    -0.5000      28.22        0.5      300.0     6057.2550      146.4085
 6    -0.5000    -0.5000      25.65        0.0      312.5       52.1555       52.5579
 6    -0.5000    -0.5000      26.16        0.1      312.5      322.7785       65.2399
 6    -0.5000    -0.5000      26.68        0.2      312.5     1369.0989       95.4207
 6    -0.5000    -0.5000      27.19        0.3      312.5     2391.0220      117.8998
 6    -0.5000    -0.5000      27.70        0.4      312.5     3586.3203      138.1721
 6    -0.5000    -0.5000      28.22        0.5      312.5     3613.4993      143.7057
 6    -0.5000    -0.5000      29.24        0.7      312.5     2339.3566      145.8737
 6    -0.5000    -0.5000      29.76        0.8      312.5      938.2420      132.0401
 6    -0.5000    -0.5000      30.27        0.9      312.5        0.0015      117.4176
 6    -0.5000    -0.5000      30.78        1.0      312.5       43.5766      125.9449
 7    -0.5000    -0.5000      25.65        0.0      325.0      114.5066       46.1476
 7    -0.5000    -0.5000      26.16        0.1      325.0      268.1511       49.8445
 7    -0.5000    -0.5000      26.68        0.2      325.0      963.3952       70.4197
 7    -0.5000    -0.5000      27.19        0.3      325.0     1427.9407       88.8070
 7    -0.5000    -0.5000      27.70        0.4      325.0     2038.9002      106.8952
 7    -0.5000    -0.5000      28.22        0.5      325.0     2280.0647      117.3635
